Tiempo (ms),RPM
10,0.11
20,1.00
30,1.97
40,3.59
50,5.19
60,6.55
70,8.83
80,10.65
90,11.98
100,13.45
110,14.92
120,16.84
130,18.48
140,18.97
150,19.39
160,21.32
170,22.39
180,23.20
190,24.55
200,25.26
210,26.20
220,26.77
230,27.48
240,27.97
250,28.38
260,28.96
270,29.23
280,29.68
290,29.96
300,30.30
310,30.26
320,30.56
330,30.81
340,30.80
350,31.36
360,31.38
370,30.61
380,30.07
390,30.28
400,30.01
410,29.79
420,29.93
430,30.39
440,30.67
450,30.46
460,30.61
470,30.86
480,30.84
490,31.17
500,31.22
510,30.92
520,31.23
530,31.05
540,30.89
550,30.42
560,30.36
570,30.64
580,30.54
590,30.35
600,30.52
610,30.78
620,30.55
630,30.81
640,30.91
650,30.89
660,30.75
670,30.98
680,31.06
690,31.12
700,31.18
710,31.00
720,31.19
730,31.35
740,31.15
750,31.31
760,31.57
770,31.56
780,31.43
790,31.22
800,31.37
810,31.62
820,31.49
830,31.60
840,31.47
850,31.48
860,31.26
870,31.41
880,31.76
890,31.38
900,31.51
910,31.73
920,31.36
930,31.38
940,31.74
950,31.36
960,31.50
970,31.27
980,31.31
990,31.22
1000,31.04
1010,31.33
1020,31.02
1030,30.76
1040,30.98
1050,30.95
1060,31.37
1070,31.50
1080,31.27
1090,30.97
1100,30.49
1110,30.86
1120,30.96
1130,30.82
1140,31.03
1150,31.10
1160,30.82
1170,31.04
1180,30.77
1190,31.10
1200,30.71
1210,30.83
1220,30.82
1230,30.92
1240,30.90
1250,31.10
1260,30.82
1270,30.36
1280,30.19
1290,30.50
1300,30.31
1310,30.83
1320,30.82
1330,30.92
1340,31.34
1350,31.26
1360,31.29
1370,31.32
1380,31.46
1390,31.47
1400,31.36
1410,31.27
1420,31.30
1430,31.33
1440,31.13
1450,31.30
1460,31.44
1470,31.45
1480,31.35
1490,31.37
1500,31.16
1510,31.33
1520,31.35
1530,31.37
1540,31.51
1550,31.39
1560,31.41
1570,31.20
1580,31.13
1590,31.30
1600,31.44
1610,31.22
1620,30.70
1630,31.16
1640,31.32
1650,31.46
1660,31.47
1670,31.59
1680,31.57
1690,31.56
1700,31.33
1710,31.69
1720,31.55
1730,31.54
1740,31.54
1750,31.31
1760,31.11
1770,30.94
1780,30.46
1790,30.39
1800,30.22
1810,30.30
1820,30.03
1830,30.25
1840,30.33
1850,30.73
1860,30.62
1870,30.64
1880,30.88
1890,30.97
1900,30.83
1910,31.27
1920,30.74
1930,30.63
1940,31.21
1950,30.80
1960,30.79
1970,30.68
1980,30.12
1990,29.99
2000,30.33
2010,30.39
2020,30.34
2030,30.85
2040,30.83
2050,30.93
2060,31.13
2070,31.07
2080,31.02
2090,30.98
2100,31.40
2110,31.08
2120,31.25
2130,31.29
2140,31.43
2150,31.78
2160,31.40
2170,31.53
2180,31.64
2190,31.39
2200,31.63
2210,31.61
2220,31.26
2230,31.29
2240,31.10
2250,30.71
2260,30.94
2270,30.80
2280,30.79
2290,30.90
2300,30.99
2310,31.29
2320,31.43
2330,31.44
2340,31.34
2350,31.36
2360,31.50
2370,31.16
2380,31.55
2390,31.43
2400,31.66
2410,31.41
2420,31.77
2430,31.50
2440,31.61
2450,31.71
2460,31.34
2470,31.03
2480,31.21
2490,31.48
2500,31.48
2510,31.60
2520,31.24
2530,30.95
2540,30.69
2550,30.59
2560,31.17
2570,30.66
2580,30.79
2590,30.89
2600,30.65
2610,31.11
2620,30.95
2630,30.69
2640,30.93
2650,30.45
2660,30.38
2670,30.77
2680,30.88
2690,31.43
2700,31.32
2710,31.80
2720,31.76
2730,31.38
2740,31.74
2750,31.47
2760,31.48
2770,31.48
2780,31.48
2790,31.26
2800,31.52
2810,31.63
2820,31.50
2830,31.61
2840,31.37
2850,31.39
2860,31.52
2870,31.40
2880,31.31
2890,30.66
2900,30.90
2910,31.10
2920,31.50
2930,31.27
2940,31.42
2950,31.54
2960,31.54
2970,31.42
2980,31.09
2990,31.38
3000,31.40
3010,31.30
3020,31.44
3030,31.45
3040,31.57
3050,31.34
3060,31.47
3070,31.70
3080,31.67
3090,31.53
3100,31.75
3110,31.72
3120,31.91
3130,31.51
3140,31.73
3150,31.36
3160,31.49
3170,31.27
3180,31.30
3190,31.45
3200,31.12
3210,30.72
3220,30.62
3230,30.30
3240,30.37
3250,29.97
3260,29.87
3270,30.45
3280,30.49
3290,30.42
3300,30.69
3310,30.81
3320,30.58
3330,30.83
3340,30.93
3350,30.90
3360,30.99
3370,30.96
3380,30.59
3390,30.28
3400,30.01
3410,29.78
3420,29.70
3430,30.08
3440,30.30
3450,30.70
3460,30.82
3470,30.92
3480,31.01
3490,31.31
3500,31.45
3510,31.57
3520,31.56
3530,31.78
3540,31.28
3550,30.98
3560,31.39
3570,31.19
3580,31.46
3590,31.35
3600,31.49
3610,31.38
3620,31.17
3630,31.22
3640,31.37
3650,31.39
3660,31.18
3670,31.23
3680,31.27
3690,31.42
3700,31.21
3710,31.25
3720,31.29
3730,31.54
3740,31.20
3750,31.47
3760,31.59
3770,31.46
3780,31.47
3790,31.36
3800,31.38
3810,31.62
3820,31.38
3830,31.29
3840,31.32
3850,31.23
3860,31.50
3870,30.82
3880,31.37
3890,31.28
3900,31.31
3910,31.23
3920,31.27
3930,31.53
3940,31.75
3950,31.82
3960,31.55
3970,31.43
3980,31.33
3990,31.47
4000,31.25
4010,31.28
4020,31.09
4030,31.27
4040,30.85
4050,31.06
4060,31.24
4070,30.60
4080,31.19
4090,31.01
4100,31.08
4110,30.70
4120,30.70
4130,30.26
4140,30.67
4150,30.91
4160,31.00
4170,31.19
4180,31.23
4190,31.27
4200,31.53
4210,31.08
4220,31.14
4230,31.31
4240,31.34
4250,31.47
4260,31.59
4270,31.46
4280,31.81
4290,31.87
4300,31.93
4310,31.53
4320,31.52
4330,31.74
4340,31.48
4350,31.71
4360,31.79
4370,31.75
4380,31.82
4390,31.55
4400,31.32
4410,31.46
4420,31.58
4430,31.79
4440,31.52
4450,31.63
4460,31.61
4470,31.48
4480,31.60
4490,31.81
4500,31.54
4510,31.64
4520,31.62
4530,31.72
4540,31.68
4550,31.54
4560,31.54
4570,31.31
4580,31.22
4590,30.93
4600,31.13
4610,31.29
4620,31.55
4630,31.66
4640,31.41
4650,31.08
4660,30.81
4670,31.14
4680,31.08
4690,30.80
4700,31.13
4710,30.74
4720,30.85
4730,30.73
4740,30.95
4750,30.70
4760,31.04
4770,31.11
4780,31.17
4790,31.22
4800,30.92
4810,30.90
4820,30.88
4830,30.86
4840,30.73
4850,30.51
4860,30.43
4870,30.70
4880,30.49
4890,30.64
4900,30.65
4910,30.78
4920,31.34
4930,31.36
4940,31.50
4950,31.50
4960,31.61
4970,31.59
4980,31.58
4990,32.02